Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
fadM,"0,228070175","17,98490074",0,1,0
queC,"0,182471264","13,8067952",0,1,0
ybaE,"0,216343327","16,94068842",0,1,0
cof,"0,164835165","12,089146",0,1,0
ybaO,"0,202614379","15,69330705",0,1,0
mdlA,"0,203045685","15,73293613",0,1,0
mdlB,"0,19023569","14,54263153",0,1,0
glnK,"0,126843658","8,104401345",0,1,0
amtB,"0,164724165","12,07811121",0,1,0
tesB,"0,167247387","12,32821687",0,1,0
ybaY,"0,197207679","15,19394535",0,1,0
ybaZ,"0,161538462","11,76011626",0,1,0
ybaA,"0,149717514","10,55681954",0,1,0
ylaB,"0,291424887","23,36134568",0,1,0
ylaC,"0,201698514","15,60905635",0,1,0
maa,"0,375","29,98262589",0,1,0
hha,"0,324200913","26,00895637",0,1,0
tomB,"0,477333333","37,64387494",0,1,0
acrB,"0,208888889","16,26692886",0,1,0
acrA,"0,234505863","18,55040893",0,1,0
acrR,"0,336419753","26,97787543",0,1,0
mscK,"0,197145406","15,18816538",0,1,0
ybaM,"0,117283951","7,019484899",0,1,0
priC,"0,198863636","15,34740508",0,1,0
ybaN,"0,164021164","12,00815422",0,1,0
apt,"0,197463768","15,21770775",0,1,0
dnaX,"0,005175983","-20,26726714",1,0,0
ybaB,"0,172727273","12,86626502",0,1,0
recR,"0,196369637","15,11610563",0,1,0
htpG,"0,202133333","15,64907241",0,1,0
adk,"0,003100775","-23,77959053",1,0,0
hemH,"0,007268951","-17,89691102",1,0,0
aes,"0,1875","14,28467475",0,1,0
gsk,"0,202298851","15,66429686",0,1,0
ybaL,"0,208706023","16,25029729",0,1,0
fsr,"0,162981163","11,90443854",0,1,0
ushA,"0,163944344","12,00050237",0,1,0
ybaK,"0,147916667","10,37003752",0,1,0
ybaP,"0,203773585","15,79974911",0,1,0
ybaQ,"0,160818713","11,68791864",0,1,0
copA,"0,188822355","14,40953707",0,1,0
glsA,"0,211146838","16,47187319",0,1,0
ybaT,"0,201082753","15,55233572",0,1,0
cueR,"0,178921569","13,46645914",0,1,0
ybbJ,"0,206971678","16,09230574",0,1,0
qmcA,"0,235294118","18,61932533",0,1,0
fetA,"0,386430678","30,85872748",0,1,0
fetB,"0,392307692","31,30689456",0,1,0
ybbN,"0,201169591","15,56033852",0,1,0
ybbO,"0,181481481","13,71215316",0,1,0
tesA,"0,175438596","13,12998968",0,1,0
ybbA,"0,209606987","16,33219056",0,1,0
ybbP,"0,204140787","15,83342203",0,1,0
rhsD,"0,283578603","22,71576774",0,1,0
ybbC,"0,143631436","9,9215898",0,1,0
rhsH,"0,375706215","30,03692795",0,1,0
ybbD,"0,085539715","3,050272413",0,0,1
ylbI,"0,688172043","52,55986201",0,1,0
ylbG,"0,19858156","15,32129735",0,1,0
mnmH,"0,159817352","11,587252",0,1,0
allS,"0,131607335","8,630612329",0,1,0
allA,"0,15942029","11,54726371",0,1,0
allR,"0,204656863","15,88071073",0,1,0
gcl,"0,256453423","20,44302068",0,1,0
hyi,"0,335907336","26,93742208",0,1,0
glxR,"0,364050057","29,13760859",0,1,0
ybbW,"0,395876289","31,57829997",0,1,0
allB,"0,206314244","16,03229528",0,1,0
ybbY,"0,335637481","26,91611187",0,1,0
glxK,"0,253054101","20,15328019",0,1,0
allE,"0,463104326","36,60035788",0,1,0
allC,"0,40776699","32,47880668",0,1,0
allD,"0,322857143","25,90183822",0,1,0
fdrA,"0,213429257","16,67826977",0,1,0
ylbE,"0,180952381","13,66148059",0,1,0
ylbF,"0,194852941","14,97492356",0,1,0
ybcF,"0,168903803","12,49158186",0,1,0
purK,"0,18258427","13,81758829",0,1,0
purE,"0,154901961","11,08927959",0,1,0
lpxH,"0,006915629","-18,24746005",1,0,0
